Timestamp,AvailabilityZone,InstanceType,ProductDescription,SpotPrice,Timestamp
2018-09-01 21:40:20+00:00,us-west-2b,c3.xlarge,SUSE Linux,0.1591,2018-09-01 21:40:20+00:00
2018-09-01 21:40:20+00:00,us-west-2b,c3.xlarge,Linux/UNIX,0.0591,2018-09-01 21:40:20+00:00
2018-09-01 20:41:37+00:00,us-west-2c,c3.xlarge,SUSE Linux,0.1588,2018-09-01 20:41:37+00:00
2018-09-01 20:41:37+00:00,us-west-2c,c3.xlarge,Linux/UNIX,0.0588,2018-09-01 20:41:37+00:00
2018-09-01 15:10:06+00:00,us-west-2a,c3.xlarge,SUSE Linux,0.1593,2018-09-01 15:10:06+00:00
2018-09-01 15:10:06+00:00,us-west-2a,c3.xlarge,Linux/UNIX,0.0593,2018-09-01 15:10:06+00:00
2018-09-01 12:48:49+00:00,us-west-2c,c3.xlarge,Windows,0.2244,2018-09-01 12:48:49+00:00
2018-09-01 12:48:49+00:00,us-west-2a,c3.xlarge,Windows,0.2244,2018-09-01 12:48:49+00:00
2018-09-01 12:48:49+00:00,us-west-2b,c3.xlarge,Windows,0.2244,2018-09-01 12:48:49+00:00
2018-09-01 09:35:51+00:00,us-west-2a,c3.xlarge,SUSE Linux,0.1592,2018-09-01 09:35:51+00:00
2018-09-01 09:35:51+00:00,us-west-2a,c3.xlarge,Linux/UNIX,0.0592,2018-09-01 09:35:51+00:00
2018-08-31 22:35:51+00:00,us-west-2a,c3.xlarge,SUSE Linux,0.1593,2018-08-31 22:35:51+00:00
2018-08-31 22:35:51+00:00,us-west-2a,c3.xlarge,Linux/UNIX,0.0593,2018-08-31 22:35:51+00:00
2018-08-31 21:40:19+00:00,us-west-2b,c3.xlarge,SUSE Linux,0.1591,2018-08-31 21:40:19+00:00
2018-08-31 21:40:19+00:00,us-west-2b,c3.xlarge,Linux/UNIX,0.0591,2018-08-31 21:40:19+00:00
2018-08-31 20:41:24+00:00,us-west-2c,c3.xlarge,SUSE Linux,0.1588,2018-08-31 20:41:24+00:00
2018-08-31 20:41:24+00:00,us-west-2c,c3.xlarge,Linux/UNIX,0.0588,2018-08-31 20:41:24+00:00
2018-08-31 12:48:34+00:00,us-west-2c,c3.xlarge,Windows,0.2244,2018-08-31 12:48:34+00:00
2018-08-31 12:48:34+00:00,us-west-2a,c3.xlarge,Windows,0.2244,2018-08-31 12:48:34+00:00
2018-08-31 12:48:34+00:00,us-west-2b,c3.xlarge,Windows,0.2244,2018-08-31 12:48:34+00:00
2018-08-31 10:36:56+00:00,us-west-2a,c3.xlarge,SUSE Linux,0.1592,2018-08-31 10:36:56+00:00
2018-08-31 10:36:56+00:00,us-west-2a,c3.xlarge,Linux/UNIX,0.0592,2018-08-31 10:36:56+00:00
